User,LP Balance,LP Balance - withdrawn,is_contract,contract_type,events,withdrawn_eth,withdrawn_de,eth_to_redeem,de_to_redeem
0xcfe874a29065aDa8468A459CD45d5d478c83fbC7,19620677481869,19620677481869,False,,[],0,0,11324835359413.467,8468000743886.714
0x5d9FA2e8c25a2d8A8904a4c08C80Fff49F7Ab0Bb,19521354565176,19521354565176,False,,[],0,0,11267507283968.348,8425134408959.261
0x0EF2F2590817a68c72C19F253eA230e7759871E5,19521352264229,19521352264229,False,,[],0,0,11267505955887.502,8425133415903.801
0xE03A483d9ae7aD1280C8D5548Ad67378E6FBEd81,19521081288759,19521081288759,False,,[],0,0,11267349551880.197,8425016466808.457
0x43Be2fC0813ab2534D6a3dc1d64fAa327030B4Dc,19521080274617,19521080274617,False,,[],0,0,11267348966528.79,8425016029119.432
0xCa95299c13D81b8e7120cCe1AB40DF5Ad9E67224,19421755455821,19421755455821,False,,[],0,0,11210019793211.113,8382148873271.823
0xa4Fcf41aD4ce2c975E69e414eB810bb22A372a81,19421609002660,19421609002660,False,,[],0,0,11209935262086.35,8382085666204.817
0xA165eb41d76B3272A6b12Bce41892d4B16C95798,19421486850564,19421486850564,False,,[],0,0,11209864757264.215,8382032947126.144
0x6AF3E815423cEe30fe58365164097cBc16288E1E,19421483350702,19421483350702,False,,[],0,0,11209862737183.055,8382031436636.303
0x093e7Bb19815f4f9CFf9c047AA57304108e00920,19321889768195,19321889768195,False,,[],0,0,11152378436460.605,8339048286256.559
0x2FFED5B33832DE08BE2a978BAF5eF654CCCD0a1b,19222412348482,19222412348482,False,,[],0,0,11094961183602.236,8296115270059.334
0x937B45D155D27ca1dbc3fe9E21aEf6bab10C3Ecc,19122960240140,19122960240140,False,,[],0,0,11037558540183.809,8253193177883.904
0xF10c2C5D33aF91C8826e09b105299dD8bf16e963,19122959686218,19122959686218,False,,[],0,0,11037558220466.232,8253192938819.177
0x46e0565A1AbFDA72fD2882b75672Ed14a90656b6,19122959190078,19122959190078,False,,[],0,0,11037557934099.78,8253192724692.325
0x3B5C8D8fd75eD78aaFD21a7acAE061cf28EAc735,19122957939424,19122957939424,False,,[],0,0,11037557212236.293,8253192184928.14
0xbbe00a8C019d20429387bb017C8028741855f7CA,19122957002518,19122957002518,False,,[],0,0,11037556671464.64,8253191780573.056
0xBe3F6BE9EccCC9F5d387cfB449dC60e3AaaF483B,19122815391540,19122815391540,False,,[],0,0,11037474935193.688,8253130663322.229
0x873e540549dfCE94F5850941E2D153566Ec4E121,19122815155431,19122815155431,False,,[],0,0,11037474798914.217,8253130561420.998
0xE1034D592076E939614d3eEDeaec6c7CaE3Ff1ba,19122695490019,19122695490019,False,,[],0,0,11037405729378.244,8253078915559.188
0x5c9E637544766fe57CE93e3a73081FD672692DcD,19122693628251,19122693628251,False,,[],0,0,11037404654786.602,8253078112047.035
0x284588E5aA5C8E05C5F71A5e67450b8AD257a622,19102896019988,19102896019988,False,,[],0,0,11025977696961.326,8244533750535.911
0x2718284e9B423e2A59486e16b0983526733A020f,19102892067007,19102892067007,False,,[],0,0,11025975415344.951,8244532044486.46
0xf0BD4535593a83D45cca4e3C3b9243554F1aE499,19102775948334,19102775948334,False,,[],0,0,11025908392947.02,8244481929345.928
0x8619C7e7baae98b7B2660a35BAE36451cd296bE2,19092815263691,19092815263691,False,,[],0,0,11020159197295.99,8240183041856.213
0x44fac1CCe29bc5Fc28A109cD5623B0c6D05ee234,19082972346349,19082972346349,False,,[],0,0,11014477975612.516,8235934981031.04
0xc52FEAc114379a87256A712224D79b67D9d03FC9,19082856694454,19082856694454,False,,[],0,0,11014411222633.62,8235885067345.145
0xdBD9B6f14a11cdF4b08464127baDf408242d04B8,19073158154960,19073158154960,False,,[],0,0,11008813334227.482,8231699317911.89
0xF1DF6b2a934fb28499c410Ea3F3F62D6810B94dA,19072896589852,19072896589852,False,,[],0,0,11008662361775.762,8231586430192.739
0x9012797b9A51a0A0493a068352D735d304C6Bf7e,19072894510686,19072894510686,False,,[],0,0,11008661161704.426,8231585532854.752
0x708CDa179B877f6DEccC45E2E13b6688b41EBFCd,19063056429981,19063056429981,False,,[],0,0,11002982731673.674,8227339559452.186
0x93a290a4D523AC640429039639f707200fE4C0B8,19063055821598,19063055821598,False,,[],0,0,11002982380521.816,8227339296882.878
0xE779a53a5854dFa4253d3d058E850E3aCD0CF5e8,19063053139650,19063053139650,False,,[],0,0,11002980832531.459,8227338139392.895
0xE602b0ee11B9A47745D404926EBAfE087B624ded,19062936219780,19062936219780,False,,[],0,0,11002913347691.59,8227287678467.319
0x4057C7586bf86aaD044ad993C1EA78555EC73F09,19052973534520,19052973534520,False,,[],0,0,10997162997306.828,8222987927540.23
0xEa5ED873d6A9C6B1C92e78e67F985A8e9ABF88Db,19043280979548,19043280979548,False,,[],0,0,10991568563099.783,8218804760940.152
0x7e2d1CAb80737a39C3D17366eEB858379a1e7425,19043018201700,19043018201700,False,,[],0,0,10991416890668.113,8218691349819.95
0x705Ac204A8AE89899549e6D52A363a2cE5830571,19033321773737,19033321773737,False,,[],0,0,10985820221014.027,8214506511692.948
0x4B3Bf452Bc6382Ae67911Ce129223409d55c9838,19033177818356,19033177818356,False,,[],0,0,10985737131579.912,8214444382631.68
0xE95F6Cf174cD65f86938fCF39e50b59989acB75A,19033175886613,19033175886613,False,,[],0,0,10985736016599.48,8214443548919.329
0xc431C9812EAF3cE6b99dE5EF134D88345814dF0B,19023361310663,19023361310663,False,,[],0,0,10980071153250.143,8210207719829.21
0xD2178872cF7f174e219777ddbbb2324Ca2eC8B33,19023359299450,19023359299450,False,,[],0,0,10980069992400.518,8210206851818.756
0x6C7B3b71e3b74193A1DA84DD49Cd703edA5E146E,19023218326703,19023218326703,False,,[],0,0,10979988624509.354,8210146010019.202
0x194c96EFBdabF84fc13126Ea9D9D3821C99a663b,19023217204194,19023217204194,False,,[],0,0,10979987976609.727,8210145525560.546
0x9e88e2eE11db8A5CDA943ac002De4d2a85cd7989,19023097597737,19023097597737,False,,[],0,0,10979918941101.92,8210093905142.862
0x190D0E3d8C69e4a2Fc5f16dAC4eD0446E2e1f77a,19023093992096,19023093992096,False,,[],0,0,10979916859966.307,8210092349000.333
0xA59B4FBd202120DC00c4822C711e050Ed219E4Ed,18823904058708,18823904058708,False,,[],0,0,10864946660646.932,8124124853450.65
0x4f63882FDfE23a3B54008A24E1a9B4BbB36Ec0dF,18823903854746,18823903854746,False,,[],0,0,10864946542922.35,8124124765423.601
0x77EE8b154287c1950a364EA43311fbbeC6F92552,18823903076272,18823903076272,False,,[],0,0,10864946093595.873,8124124429445.477
0x988257160f7Fe286a58BFA6E4E6CEB248541cAc8,18624825750019,18624825750019,False,,[],0,0,10750040889854.014,8038205533507.292
0x44de6Fb07a30E029AACfe5447bB324AFa522Ce51,18624809976515,18624809976515,False,,[],0,0,10750031785564.113,8038198725891.004
0x929c2Cea7C8BD99e2A3Cf22D82d17166aC6d6458,18624708377452,18624708377452,False,,[],0,0,10749973143722.504,8038154877204.236
0x70798F30f3C5d168d6Cc71e6fc03F164952B15b4,18624706652454,18624706652454,False,,[],0,0,10749972148072.973,8038154132720.038
0xD2e650D6120f4025A7234a08f757358a1045bfBb,18525109515244,18525109515244,False,,[],0,0,10692485795615.752,7995169448181.871
0xe906B6baC9EDD968441c944a856023F4480AfA68,18525107388659,18525107388659,False,,[],0,0,10692484568174.701,7995168530378.529
0x4Cac572B24906c28E194448051Bbd9B5Ee60D0e0,18425509100080,18425509100080,False,,[],0,0,10634997551160.186,7952183348926.146
0xdE88A5FAC5A67e8C87f766793C64351660825a4a,18325913643004,18325913643004,False,,[],0,0,10577512168457.498,7909199389509.523
0xe4f0a3FF00D8ae6cD0B891215Ee5BE4b30aD7556,18226572401880,18226572401880,False,,[],0,0,10520173516355.975,7866325146022.568
0xbbA6C7B2196c892732bdEC67DC5CF319E79f95de,18226570178903,18226570178903,False,,[],0,0,10520172233278.54,7866324186617.833
0x5db052D08D1F6EFeAa26388Fd6be497ECD5ECC97,18226569406916,18226569406916,False,,[],0,0,10520171787696.287,7866323853439.404
0xc54456A961045A023d3f44C57715BE5A358DD967,18126835539012,18126835539012,False,,[],0,0,10462606515813.396,7823280157910.431
0xc8863d7d28Af8A1863A8B69bf84A2c83ccD695E1,18116872065179,18116872065179,False,,[],0,0,10456855710273.129,7818980066646.635
0x7e70e8679Fef62653c87baac8e00c78318aCF71b,18116762843267,18116762843267,False,,[],0,0,10456792668608.426,7818932928048.443
0x5571C952C983934D88e9BcA598877C894000Bc87,18107051013667,18107051013667,False,,[],0,0,10451187109301.908,7814741442797.574
0x7468d67A4A6DD133Ba52434155312D7EC7419340,18097093261663,18097093261663,False,,[],0,0,10445439606337.273,7810443820992.454
0x4dA537d0AE1D962f5eeD3668fA1292010144909F,18096841672479,18096841672479,False,,[],0,0,10445294391877.19,7810335238737.88
0xBa5AF1e39C37EA03509584387ddd080bB001C1Fc,18077173715707,18077173715707,False,,[],0,0,10433942267440.877,7801846832935.892
0x3fE3c9e0376ff72908eb9C1f26A6EAb7DB58E136,18076921879051,18076921879051,False,,[],0,0,10433796910142.725,7801738143875.9795
0x082d62576f25e9048815D8c09Ad4750408B26c33,18067212748056,18067212748056,False,,[],0,0,10428192908440.797,7797547823304.015
0x8ddfb47f9637DBE2D6880c40Ab4a34B97Df346B0,18067073161063,18067073161063,False,,[],0,0,10428112340391.326,7797487579575.854
0xe7A000f0B0e6b42F478932E95B78E9910FEcb272,18066962326373,18066962326373,False,,[],0,0,10428048367849.219,7797439744925.993
0x8C821fF60E90268E6454411C96b72981a7CE5ECd,18066960752501,18066960752501,False,,[],0,0,10428047459427.922,7797439065665.592
0xc31ae2512ad25303E3EEf3ABbe075fc15Ee5f7e0,18066959249522,18066959249522,False,,[],0,0,10428046591925.271,7797438417001.584
0x0288783b99b8824B4A46D241684D9b85cC3D25cd,18057116900151,18057116900151,False,,[],0,0,10422365698068.299,7793190601304.483
0x0a3711E4560BFd199d338cE749b37F214f917a7C,18057116200994,18057116200994,False,,[],0,0,10422365294522.707,7793190299558.431
0x895471F3F5aE50877bbdF6490177D83A6DFC3dc5,18057101711826,18057101711826,False,,[],0,0,10422356931537.164,7793184046242.992
0xebeDb7D32563F69876E8E160C7F25f1D723FABC0,18047291794154,18047291794154,False,,[],0,0,10416694756893.732,7788950227598.313
0x0C4A7511db895944c6FcC14C4EDE02D1a9076B0b,18047153623292,18047153623292,False,,[],0,0,10416615006219.217,7788890595051.818
0x0D6a3798a2ca13F95446adB24dCf455D76D2C688,18047040314529,18047040314529,False,,[],0,0,10416549605669.877,7788841692627.819
0x63Eba68adb257C50F32c8419D8b268bC48817F0A,18037080746964,18037080746964,False,,[],0,0,10410801054783.762,7784543287252.819
0x28A16e4fA128C432444a8cEB784d7754111ECA95,18027372847982,18027372847982,False,,[],0,0,10405197764185.943,7780353498399.8545
0x56e209dc5d76ef9aF0f0d0bcbf19966E09C5690D,18027370695384,18027370695384,False,,[],0,0,10405196521730.48,7780352569369.678
0xA0e6CBbb0910883951E1C89938551bD922e6f78D,18027237347264,18027237347264,False,,[],0,0,10405119554688.65,7780295018248.907
0x1F0C7Aed0c4690AbfC264d879CC9409481B27c42,18027123666625,18027123666625,False,,[],0,0,10405053939496.645,7780245955328.603
0x1be367DCcb1414e97A4DE3a606a0A754469D3131,18027120285078,18027120285078,False,,[],0,0,10405051987705.578,7780244495901.805
0x760976327F3B8Ba60bB42cf2ECbc3B6dA14173C8,17828175812221,17828175812221,False,,[],0,0,10290223465456.396,7694382937568.664
0x5b0439BCe7C4BcDdFCd0Adb4B4F520524bf91646,17827926239061,17827926239061,False,,[],0,0,10290079414622.793,7694275225400.902
0xB94220BdD7022e8acd99627D7972D2C4237d8c2f,17728577409956,17728577409956,False,,[],0,0,10232736382823.594,7651397707051.048
0xfEC35C1c9625Eb4c51dE3e02DBe5970749A5cccF,17728574570774,17728574570774,False,,[],0,0,10232734744079.533,7651396481701.143
0xdcBCF76EFfab0E93EF48846aE1b79640782C6a31,17728443129783,17728443129783,False,,[],0,0,10232658877811.207,7651339753669.678
0x4F8215Fd97FC886Ee662588588b7c6B0108381FD,17728439727412,17728439727412,False,,[],0,0,10232656914000.762,7651338285255.542
0x22A75Ee13A97812dBCDc46D957C763B4145fDB6C,17728328471677,17728328471677,False,,[],0,0,10232592698436.195,7651290268888.747
0xC32bAA2a447D4cda36C856DC31b52Eb1Dc3146C8,17628845802438,17628845802438,False,,[],0,0,10175172415610.195,7608354987071.993
0xa14378092Da8f2D3A3e94449ABdd43AbA683D204,17628735270596,17628735270596,False,,[],0,0,10175108617868.562,7608307283126.951
0x18bdCad510163927b27c6f6aDDFA86f43A610b28,17529246391997,17529246391997,False,,[],0,0,10117684751069.494,7565369321440.189
0xF3C9EA6D44897f23F0e2a252514F877f4b0B10E0,17429781883011,17429781883011,False,,[],0,0,10060274950138.193,7522441877326.087
0x6EdcBA855252DC13866E9188550D7A5D7A33105e,17329943736540,17329943736540,False,,[],0,0,10002649489833.986,7479353176675.156
0xe124A462c183D174Cb3DC0e535b35B4983DbbDE3,17230452323174,17230452323174,False,,[],0,0,9945224159995.785,7436414121019.604
0xfE79785b19Fbd19DE278C5782F2145721f16CC6a,17130984181130,17130984181130,False,,[],0,0,9887812262104.084,7393485108930.19
0x4dcbeAa1E19b7E67CAa0698dC56cC52E1ebfC52e,17130745339051,17130745339051,False,,[],0,0,9887674405130.283,7393382028141.849
0xe8dfEAA2194243Cd8Fc7171E555a1dCf20FaA9F0,17120788877310,17120788877310,False,,[],0,0,9881927646891.006,7389084963195.586
0xEA8D3bcADB06d4c9aB573C563b51431B3e493d3a,17110932854857,17110932854857,False,,[],0,0,9876238861084.193,7384831246393.967
0x5Ceac7528f7104394b89cA59286591857dD06150,17071224491808,17071224491808,False,,[],0,0,9853319638527.414,7367693690968.157
0x10A205Bc5A235632405C25b1372DaF504DDc0655,17070986725540,17070986725540,False,,[],0,0,9853182402499.678,7367591074484.29
0xe552eBA7dB4F2a616015014293f69A5cD18Ec01b,17070986116397,17070986116397,False,,[],0,0,9853182050909.158,7367590811586.978
0xeD6f45AA11C765C6971EB7A0a594dDd57a630D12,17061030277880,17061030277880,False,,[],0,0,9847435652387.797,7363294015615.183
0xc40d0f1778d1A9D9B5dcd88F8837f390Cc174fbB,17051176232110,17051176232110,False,,[],0,0,9841748007500.28,7359041151921.37
0x05FC9AeA5B4577c7991613D45d8F133b5BCB9cB3,17051174120143,17051174120143,False,,[],0,0,9841746788496.574,7359040240426.945
